88.034,72.034,0
81.398,10.844,0
59.665,96.196,0
90.199,74.611,0
70.207,66.252,0
73.496,25.989,0
54.011,3.027,0
72.708,44.433,0
78.045,60.33,0
84.137,63.021,0
85.721,23.03,0
96.361,57.988,0
53.679,3.5423,0
76.211,51.381,0
91.734,45.088,0
71.564,80.54,0
63.333,95.853,0
80.297,33.343,0
60.743,16.869,0
54.813,1.7173,0
95.62,65.051,0
69.163,29.43,0
68.528,58.109,0
90.945,63.715,0
75.442,81.686,0
81.9,54.328,0
73.856,95.643,0
80.511,44.454,0
75.515,79.618,0
74.241,69.119,0
83.113,34.531,0
61.81,95.381,0
89.542,77.503,0
58.252,91.419,0
85.493,29.553,0
74.615,22.781,0
76.96,90.366,0
74.037,74.72,0
69.282,26.051,0
82.408,68.964,0
68.057,49.264,0
75.522,3.6426,0
75.688,12.091,0
60.198,91.577,0
74.753,82.714,0
74.851,33.999,0
83.233,58.149,0
55.257,93.768,0
62.28,11.403,0
79.662,79.625,0
74.587,61.785,0
73.141,9.2398,0
78.137,23.787,0
74.487,10.482,0
92.749,66.178,0
59.267,14.782,0
93.612,75.374,0
68.319,89.838,0
76.326,92.767,0
79.258,59.158,0
82.991,65.081,0
86.206,60.084,0
61.474,11.246,0
67.586,49.823,0
84.109,29.735,0
70.082,69.384,0
74.247,9.1872,0
75.788,40.209,0
84.972,28.273,0
62.232,0.065867,0
96.347,55.081,0
88.439,80.047,0
78.172,13.73,0
84.4,60.622,0
79.849,69.487,0
70.224,80.144,0
86.01,73.948,0
